Chimoio,2,Mozambique,-18.99916649,33.38305664,South Africa Standard Time
Chinandega,-6,Nicaragua,12.63333321,-87.1333313,Central America Standard Time
Chirala,5.5,India,15.8283329,80.35666656,India Standard Time
Chisinau,2,Moldova,47.02694321,28.84166718,Moldova Standard Time
Chita,8,Russia,52.04555511,113.4986115,Chita Standard Time
Chittagong,6,Bangladesh,22.36666679,91.80000305,Bangladesh Standard Time
Chongqing,8,China,29.56666565,106.5833359,China Standard Time
Christchurch,12,New Zealand,-43.53333282,172.6333313,New Zealand Standard Time
Cienfuegos,-5,Cuba,22.16638947,-80.44972229,Cuba Standard Time
Cincinnati,-5,United States,39.16666794,-84.44972229,Eastern Standard Time
Ciudad Acuna,-6,Mexico,29.31833267,-100.9325027,Central Standard Time
Ciudad Juarez,-7,Mexico,31.73666573,-106.473053,Mountain Standard Time
Cleveland,-5,United States,41.5,-81.69999695,Eastern Standard Time
Cluj,2,Romania,46.78333282,23.60000038,FLE Standard Time
Cockburn Town,-4,Turks and Caicos Islands,21.46666718,-71.13305664,Turks and Caicos Standard Time
Coimbatore,5.5,India,11.00527763,76.97083282,India Standard Time
Collioure,1,France,42.51666641,3.083333015,Romance Standard Time
Cologne,1,Germany,50.94916534,6.959722042,W. Europe Standard Time
Colombo,5.5,Sri Lanka,6.933333397,79.84999847,India Standard Time
Colorado Springs ,-7,United States,38.83333206,-104.8166656,Mountain Standard Time
Columbia,-5,United States,34.01638794,-81,Eastern Standard Time
Columbus-GA,-5,United States,32.46666718,-84.98332977,Eastern Standard Time
Columbus-OH,-5,United States,39.96666718,-83,Eastern Standard Time
Conakry,0,Guinea,9.533333778,-13.6833334,Greenwich Standard Time
Constanta,2,Romania,44.18333435,28.64999962,FLE Standard Time
Constantine,1,Algeria,36.365,6.61472,W. Central Africa Standard Time
Coos Bay,-8,United States,43.36639023,-124.2177811,Pacific Standard Time
Copenhagen,1,Denmark,55.66670227,12.58329773,Romance Standard Time
Coquille,-8,United States,43.17694473,-124.1875,Pacific Standard Time
Coral Springs,-5,United States,26.27166748,-80.27083588,Eastern Standard Time
Cordoba,-3,Argentina,-31.41666603,-64.18333435,Argentina Standard Time
Corfu,2,Greece,39.61777878,19.9197216,FLE Standard Time
Cork,0,Ireland,51.90000153,-8.483333588,GMT Standard Time
Corrientes,-3,Argentina,-27.4711113,-58.83972168,Argentina Standard Time
Cotonou,1,Benin,6.366666794,2.433333397,W. Central Africa Standard Time
Cox's Bazar,6,Bangladesh,21.44333267,91.97222137,Bangladesh Standard Time
Craiova,2,Romania,44.31666565,23.81666756,FLE Standard Time
Cranbrook ,-7,Canada,49.51805496,-115.7613907,Mountain Standard Time
Cuenca,-5,Ecuador,-2.896111012,-79.00527954,SA Pacific Standard Time
Cuiaba,-4,Brazil,-15.59888935,-56.09500122,Cuiaba Standard Time
Culiacan,-7,Mexico,24.80416679,-107.3877792,Mexico Standard Time 2
Cupertino,-8,United States,37.53305435,-122.0500031,Pacific Standard Time
Curitiba,-3,Brazil,-25.42972183,-49.27111053,E. South America Standard Time
Da Nang,7,Vietnam,16.05166626,108.2149963,SE Asia Standard Time
Daegu,9,Korea South,35.86360931,128.5913849,Korea Standard Time
Dakar,0,Senegal,14.6833334,-17.45000076,Greenwich Standard Time
Dakhla,0,Morocco,23.69750023,-15.93694401,Morocco Standard Time
Dalian,8,China,38.95000076,121.5833359,China Standard Time
Dallas,-6,United States,32.76666641,-96.80000305,Central Standard Time
Damascus,2,Syria,33.51666641,36.31666565,Syria Standard Time
Damauli,5.75,Nepal,27.95861053,84.28055573,Nepal Standard Time
Dambulla,5.5,Sri Lanka,7.856666565,80.64916992,India Standard Time
Dampier,8,Australia,-20.66666603,116.7166672,W. Australia Standard Time
Dandong,8,China,40.12722397,124.3850021,China Standard Time
Dar es Salaam,3,Tanzania,-6.800000191,39.28305435,E. Africa Standard Time
Darasuram,5.5,India,10.95138931,79.35610962,India Standard Time
Darwin,9.5,Australia,-12.4333334,130.8500061,AUS Central Standard Time
Dausa,5.5,India,26.88944435,76.33611298,India Standard Time
Davao,8,Philippines,7.079999924,125.6136093,Singapore Standard Time
Dayton,-5,United States,39.76666641,-84.19999695,Eastern Standard Time
Del Rio,-6,United States,29.36277771,-100.8969421,Central Standard Time
Delhi,5.5,India,28.61666679,77.21670532,India Standard Time
Denpasar,8,Indonesia,-8.656389236,115.2222214,Singapore Standard Time
Denver ,-7,United States,39.75500107,-104.9880524,Mountain Standard Time
Des Moines,-6,United States,41.59972382,-93.63305664,Central Standard Time
Detroit,-5,United States,42.33139038,-83.04582977,Eastern Standard Time
Dhahran,3,Saudi Arabia,26.28333282,50.11666489,Arab Standard Time
Dhaka,6,Bangladesh,23.85000038,90.40000153,Bangladesh Standard Time
Dhamar,3,Yemen,14.55000019,44.40166855,Arab Standard Time
Dharan,5.75,Nepal,26.81138802,87.26889038,Nepal Standard Time
Dieppe,1,France,49.93333435,1.083333373,Romance Standard Time
Diffa,1,Niger,13.31555557,12.60888863,W. Central Africa Standard Time
Dili,9,East Timor,-8.566389084,125.5833359,East Timor Standard Time
Djember,7,Indonesia,-8.172499657,113.7002792,SE Asia Standard Time
Djibouti,3,Djibouti,11.58333302,43.15000153,Arab Standard Time
Dnepropetrovsk,2,Ukraine,48.45000076,34.98333359,Ukraine Standard Time
Dodoma,3,Tanzania,-6.183333397,35.73333359,E. Africa Standard Time
Doha,3,Qatar,25.25,51.56666565,Arab Standard Time
Donauworth,1,Germany,48.71944427,10.77666664,W. Europe Standard Time
Donetsk,2,Ukraine,48,37.79972076,Ukraine Standard Time
Doolin,0,Ireland,53.01610947,-9.37749958,GMT Standard Time
Douala,1,Cameroon,4.047500134,9.706388474,W. Central Africa Standard Time
Dover,0,United Kingdom,51.13333511,1.283333302,GMT Standard Time
Dresden,1,Germany,51.04999924,13.69999981,W. Europe Standard Time
Drogheda,0,Ireland,53.71666718,-6.349999905,GMT Standard Time
Dubai,4,United Arab Emirates,25.21666718,55.28333282,Arabian Standard Time
Dublin,0,Ireland,53.33309937,-6.248901367,GMT Standard Time
Dublin OH,-5,United States,40.09916687,-83.11416626,Eastern Standard Time
